student_id,study_hours_per_week,attendance_percentage,material_prep_hours,extracurricular_hours,skill_dev_hours,projects_completed,hackathons_participated,internship_experience,coding_platform_rating,previous_gpa,final_score,productivity_index
CSE0001,18.5,89.3,0.4,2.1,4.4,4,1,0,62.6,5.95,64.9,47.1
CSE0002,14.0,73.4,4.6,0.9,6.8,3,1,0,44.3,7.85,69.8,38.7
CSE0003,19.5,70.2,6.3,0.2,5.3,2,2,0,55.4,7.63,61.4,41.2
CSE0004,25.7,80.0,15.6,6.2,7.3,2,2,0,69.8,7.17,81.1,63.0
CSE0005,13.4,78.0,10.2,4.4,8.9,3,2,1,51.0,7.77,81.3,50.8
CSE0006,13.4,74.6,2.7,6.1,14.2,3,2,0,36.3,5.92,54.9,49.3
CSE0007,26.1,88.4,9.9,7.1,8.4,3,3,0,49.0,9.02,82.6,68.5
CSE0008,20.4,91.5,1.8,5.8,2.1,2,2,1,83.3,9.32,70.7,56.1
CSE0009,11.7,81.1,12.3,7.0,15.7,4,2,0,88.7,7.25,75.4,75.4
CSE0010,18.8,97.7,6.1,4.8,5.8,5,1,0,14.6,9.87,66.5,36.2
CSE0011,11.8,66.3,7.6,1.4,9.7,2,3,0,76.8,6.76,68.0,76.4
CSE0012,11.7,77.7,13.3,8.2,12.2,3,1,0,60.0,7.64,68.5,49.9
CSE0013,16.7,71.4,2.9,3.2,11.0,1,3,1,73.5,8.78,65.4,70.2
CSE0014,1.6,57.6,2.4,2.2,15.5,3,1,0,44.0,6.7,50.3,39.4
CSE0015,2.9,79.0,5.7,4.5,12.4,4,1,1,19.6,5.68,51.9,23.4
CSE0016,11.1,78.5,12.2,2.3,5.7,4,1,1,66.7,5.43,68.8,47.5
CSE0017,7.9,98.2,1.9,3.7,20.9,3,1,0,36.2,9.47,60.2,53.1
CSE0018,17.2,87.6,0.0,6.0,11.0,5,2,1,27.2,6.62,68.2,48.3
CSE0019,8.6,67.7,6.2,6.0,9.3,1,0,0,28.6,7.0,52.6,7.0
CSE0020,5.1,100.0,10.2,2.3,14.8,4,0,0,67.0,5.98,61.4,47.6
CSE0021,25.3,94.7,12.8,3.5,11.2,2,3,0,57.8,8.24,76.8,50.0
CSE0022,13.4,87.0,6.1,8.2,12.0,1,4,0,70.6,6.34,67.9,64.3
CSE0023,15.5,77.3,6.4,6.5,22.5,4,1,0,68.4,6.66,78.4,80.3
CSE0024,5.0,68.5,12.6,11.2,8.6,3,0,0,46.6,7.53,61.3,45.9
