student_id,department,semester,gender,hostel_or_dayscholar,study_time_preference,learning_style,sleep_quality,stress_level,internet_access_quality,part_time_job,mentor_support,placement_status,study_minutes_per_day,material_prep_minutes_per_week,extracurricular_minutes_per_week,skill_dev_minutes_per_week,attendance_percentage,previous_year_score,previous_semester_gpa,backlogs_count,internal_marks,projects_completed,hackathons_participated,internships_completed,certifications_count,coding_problems_solved,coding_platform_rating,productivity_index,final_score,performance_category
STU0001,CSE,3,Male,Day Scholar,Morning,Auditory,Good,Medium,Good,No,Yes,Not Started,122,343,222,596,86.3,65.7,6.91,1,33,4,1,1,0.0,133,1126,87.06,78.95,Good
STU0002,ECE,8,Female,Hostel,Morning,Kinesthetic,Poor,Medium,Average,No,No,Placed,240,261,0,281,64.2,65.1,5.99,4,37,3,2,1,6.0,173,867,61.03,63.72,Average
STU0003,CSE-DS,7,Male,Hostel,Night,Kinesthetic,Average,High,Good,No,No,In Progress,122,223,35,320,76.8,67.6,6.94,0,32,6,2,0,9.0,299,1206,71.5,81.93,Good
STU0004,CSE-AIML,8,Male,Day Scholar,,Visual,Poor,High,Good,No,No,Placed,159,233,215,480,67.5,61.9,6.05,1,26,7,2,1,3.0,357,1140,71.89,68.92,Average
STU0005,CSE,8,Female,Hostel,Night,Kinesthetic,Poor,High,Good,Yes,Yes,Placed,162,102,104,455,84.6,75.7,7.43,0,37,5,0,1,7.0,398,1153,67.96,82.19,Good
STU0006,CSE,3,Female,Day Scholar,Night,Auditory,Average,Low,Good,Yes,No,Not Started,280,264,170,0,67.1,70.9,7.33,0,36,2,2,0,2.0,0,786,68.76,76.28,Good
STU0007,CSE,6,Male,Day Scholar,Night,Visual,Good,Low,Average,No,No,Not Started,136,214,0,374,66.1,69.9,6.89,0,35,4,2,2,3.0,248,1125,80.36,75.33,Good
STU0008,IT,4,Male,Day Scholar,Night,Visual,Poor,Medium,Good,No,Yes,Not Started,0,271,0,303,88.3,66.1,6.16,5,32,9,0,1,2.0,196,1457,68.37,63.15,Average
STU0009,CSE-DS,3,Female,Hostel,Morning,Kinesthetic,Average,Medium,Good,No,No,Not Started,92,222,69,637,94.2,84.2,8.31,0,42,4,0,0,0.0,165,972,77.89,91.14,Excellent
STU0010,CSE-DS,5,Female,Day Scholar,Night,Visual,Average,Low,Good,No,Yes,Not Started,355,178,244,82,71.3,75.3,7.62,0,36,5,0,1,2.0,0,914,89.91,81.0,Good
STU0011,CSE,3,Female,Hostel,Morning,Visual,Good,Medium,,No,Yes,Not Started,31,105,189,115,80.8,55.9,5.47,0,27,3,2,1,2.0,71,1250,68.52,68.69,Average
STU0012,ECE,5,Other,Day Scholar,Afternoon,Kinesthetic,Poor,High,Average,No,Yes,Not Started,10,32,24,216,71.8,63.6,6.17,5,38,4,2,1,4.0,129,1140,48.66,61.19,Average
STU0013,IT,8,Male,Hostel,Morning,Visual,Poor,High,Good,No,No,Placed,252,195,35,456,73.8,67.3,6.25,0,28,6,3,2,7.0,314,1240,69.31,73.33,Good
STU0014,CSE,7,Male,Hostel,Night,Auditory,Good,Low,,No,Yes,In Progress,242,0,181,530,62.3,76.5,8.39,0,39,3,2,2,5.0,368,748,96.5,80.9,Good
STU0015,CSE,3,Female,Day Scholar,Night,Kinesthetic,Average,Medium,Average,Yes,No,Not Started,147,68,130,236,85.7,66.5,6.34,1,32,1,0,0,1.0,76,996,59.6,70.49,Good
STU0016,CSE,5,Female,Hostel,Night,Auditory,Average,Medium,Good,No,Yes,Not Started,227,342,160,425,79.0,79.3,8.69,0,40,5,1,1,0.0,193,1043,83.49,90.84,Excellent
STU0017,CSE,3,Male,Hostel,Night,Auditory,Poor,High,Average,No,Yes,Not Started,140,133,76,176,77.6,61.6,6.69,0,29,2,1,0,2.0,113,1248,48.33,71.31,Good
STU0018,CSE-AIML,7,Male,Day Scholar,Night,Auditory,Average,Medium,Good,No,Yes,Placed,92,318,65,291,89.8,67.4,7.47,0,39,6,6,1,3.0,318,1065,76.46,80.32,Good
STU0019,CSE-AIML,8,Female,Hostel,Night,Auditory,Poor,High,Average,No,No,Placed,333,306,115,395,96.4,74.7,7.04,0,31,6,2,4,0.0,320,1363,70.44,81.17,Good
STU0020,CSE,3,Male,Day Scholar,Afternoon,Visual,Poor,Medium,Poor,No,Yes,Not Started,119,146,44,681,67.0,65.6,6.55,0,33,1,1,0,1.0,160,1006,62.61,70.23,Good
STU0021,CSE-DS,2,Male,Hostel,Night,Visual,Average,High,Good,No,Yes,Not Started,58,354,44,503,90.4,76.1,7.6,0,32,1,0,0,2.0,168,1195,63.98,79.15,Good
STU0022,CSE,5,Male,Day Scholar,Night,Kinesthetic,Poor,Medium,Average,Yes,Yes,Not Started,28,401,0,533,78.7,60.3,6.2,3,26,3,2,0,0.0,153,1015,62.48,64.85,Average
STU0023,CSE,7,Female,Day Scholar,Afternoon,Kinesthetic,Poor,High,Poor,No,Yes,In Progress,297,63,67,240,75.5,65.3,6.47,1,38,3,1,1,3.0,211,1279,55.6,73.46,Good
STU0024,CSE,5,Female,Hostel,Night,Auditory,Average,High,Average,No,No,Not Started,195,346,0,0,95.8,78.2,7.65,1,43,5,0,0,2.0,0,912,57.43,82.81,Good
STU0025,CSE-AIML,5,Male,Hostel,Morning,Auditory,Good,Low,Average,No,No,Not Started,255,162,53,758,75.5,69.8,6.98,0,34,5,1,2,2.0,444,1194,100.0,76.91,Good
STU0026,IT,1,Female,Hostel,Night,Kinesthetic,Average,Low,Average,No,Yes,Not Started,347,53,104,0,81.0,72.0,6.94,0,33,0,0,0,0.0,17,957,71.29,77.76,Good
STU0027,CSE,7,Female,Hostel,Night,Kinesthetic,Average,High,Average,No,Yes,Placed,134,269,198,215,81.6,67.5,6.51,0,33,6,0,1,4.0,182,1062,67.96,78.47,Good
STU0028,CSE-AIML,3,Male,Hostel,Night,Kinesthetic,Average,Low,Good,No,No,Not Started,370,306,93,264,88.3,82.6,8.62,0,43,4,1,0,3.0,152,1285,81.36,88.88,Excellent
STU0029,CSE-AIML,5,Female,Day Scholar,Night,Kinesthetic,Average,Medium,Poor,No,Yes,Not Started,169,232,128,553,76.9,74.2,7.56,0,35,3,0,0,5.0,339,1236,69.19,77.74,Good
STU0030,CSE,6,Male,Hostel,Night,Auditory,Poor,High,Poor,No,No,Not Started,186,457,79,530,76.4,65.5,5.47,3,32,5,1,0,3.0,256,1150,51.37,65.06,Average
STU0031,CSE-DS,1,Male,Hostel,,Kinesthetic,Poor,High,Good,Yes,Yes,Not Started,305,329,134,176,100.0,83.4,8.9,0,42,0,0,0,0.0,3,945,57.12,86.89,Excellent
STU0032,CSE,2,Male,Day Scholar,,Visual,Good,Low,Average,No,No,Not Started,183,232,109,338,78.3,67.6,7.2,0,37,3,1,0,1.0,55,870,74.91,80.82,Good
STU0033,CSE,5,Male,Hostel,Afternoon,Auditory,Average,Medium,Good,No,Yes,Not Started,255,260,0,154,54.0,63.8,6.17,3,30,6,0,0,1.0,0,1033,77.71,65.05,Average
STU0034,ECE,8,Male,Hostel,Night,Visual,Average,Medium,Average,No,No,In Progress,136,603,99,140,72.8,64.9,6.76,0,28,11,2,2,4.0,67,1007,84.92,75.09,Good
STU0035,ECE,5,Female,Hostel,Night,Kinesthetic,Poor,Medium,Good,No,Yes,Not Started,215,296,108,441,83.2,68.6,6.36,2,31,2,2,0,3.0,172,1142,60.08,72.71,Good
STU0036,IT,1,Female,Hostel,Night,Visual,Poor,High,Average,No,Yes,Not Started,306,407,148,13,85.8,83.5,8.05,0,44,0,0,0,0.0,0,989,54.61,84.23,Good
STU0037,CSE,3,Female,Day Scholar,Morning,Kinesthetic,Average,Medium,Good,No,No,Not Started,234,355,39,344,100.0,69.2,6.95,2,43,1,0,0,2.0,175,1019,69.61,82.22,Good
STU0038,CSE,6,Male,Day Scholar,Night,Visual,Poor,High,Average,No,Yes,In Progress,142,102,80,171,72.2,68.4,6.34,4,31,3,4,1,3.0,144,1038,51.47,63.64,Average
STU0039,CSE-DS,8,Male,Hostel,Night,Auditory,Poor,Low,Good,No,Yes,Placed,187,113,191,0,75.4,75.1,8.23,0,39,10,1,2,5.0,88,1296,74.59,80.49,Good
STU0040,CSE-AIML,2,Male,Hostel,Afternoon,Visual,Average,Medium,Good,Yes,Yes,Not Started,143,236,43,256,96.6,65.6,6.18,3,37,1,1,0,1.0,0,882,61.35,71.18,Good
STU0041,CSE,8,Male,Hostel,Night,Auditory,Average,High,Average,No,No,In Progress,172,227,59,494,100.0,76.9,8.24,0,34,9,5,3,2.0,334,1423,78.41,87.02,Excellent
STU0042,CSE-AIML,5,Male,Hostel,Night,Visual,Poor,Medium,Average,No,Yes,Not Started,315,275,258,354,77.4,74.6,6.4,2,36,4,2,1,2.0,176,1223,77.42,72.28,Good
STU0043,CSE,3,Female,Day Scholar,Night,Visual,Good,Low,Good,No,Yes,Not Started,191,390,21,59,68.9,73.7,7.43,0,34,1,0,0,2.0,39,1084,74.28,77.31,Good
STU0044,ECE,7,Other,Hostel,Night,Auditory,Good,High,Good,No,No,In Progress,257,339,0,330,87.5,67.6,7.42,0,29,4,2,2,6.0,226,1083,76.24,79.13,Good
STU0045,CSE,6,Male,Hostel,Afternoon,Auditory,Poor,High,Good,No,No,Not Started,225,63,204,0,61.5,76.7,7.14,0,39,9,3,2,4.0,93,1022,66.28,73.85,Good
STU0046,CSE-DS,7,Male,Hostel,Night,Kinesthetic,Poor,Medium,Good,No,No,Placed,296,162,0,731,81.7,74.2,7.33,0,39,4,5,1,6.0,508,906,81.84,81.75,Good
STU0047,CSE,6,Female,Day Scholar,Night,Auditory,Average,Medium,Poor,No,No,Not Started,85,436,97,326,81.9,74.7,7.02,0,39,3,2,2,4.0,246,1036,55.57,77.05,Good
STU0048,CSE-AIML,2,Male,Day Scholar,Afternoon,Auditory,Average,Low,Good,No,No,Not Started,198,314,153,426,92.5,81.7,8.24,0,50,1,0,0,2.0,91,1199,72.14,89.27,Excellent
STU0049,CSE-AIML,4,Female,Day Scholar,Night,Kinesthetic,Average,High,Average,No,Yes,Not Started,347,52,203,586,69.1,63.5,6.29,0,28,1,2,2,0.0,213,1019,83.2,73.67,Good
STU0050,CSE,6,Female,Day Scholar,Night,Auditory,Poor,High,Good,No,No,Not Started,120,218,176,331,77.5,64.5,5.98,0,34,1,1,0,3.0,139,1070,48.73,70.06,Good
STU0051,ECE,4,Female,Hostel,Afternoon,Auditory,Average,Low,Good,No,Yes,Not Started,376,12,19,328,97.4,87.7,9.61,0,48,1,1,0,0.0,104,1031,84.76,97.9,Excellent
STU0052,IT,7,Male,Hostel,Morning,Visual,Poor,Low,Poor,No,Yes,Placed,103,369,273,123,76.4,65.0,6.57,0,26,5,2,2,0.0,90,1018,51.79,74.6,Good
STU0053,ECE,6,Female,Hostel,Afternoon,Kinesthetic,Poor,High,Good,No,Yes,Not Started,155,304,84,0,77.7,73.0,8.4,0,34,4,2,2,3.0,38,833,52.38,83.66,Good
STU0054,IT,2,Male,Day Scholar,Night,Kinesthetic,Average,Low,Good,No,No,Not Started,252,216,33,154,73.7,68.6,6.47,2,33,1,1,0,1.0,0,1046,69.48,72.28,Good
STU0055,CSE-AIML,1,Female,Day Scholar,Night,Visual,Poor,High,Good,No,No,Not Started,193,231,212,328,68.7,68.0,6.64,0,30,2,1,0,0.0,0,945,49.64,74.55,Good
STU0056,ECE,2,Male,Hostel,Morning,Kinesthetic,Poor,High,Good,No,No,Not Started,0,306,24,317,89.2,60.6,5.22,0,29,1,0,0,1.0,172,900,44.9,72.81,Good
