department,semester,gender,hostel_or_dayscholar,study_time_preference,learning_style,sleep_quality,stress_level,internet_access_quality,part_time_job,mentor_support,placement_status,study_minutes_per_day,material_prep_minutes_per_week,extracurricular_minutes_per_week,skill_dev_minutes_per_week,attendance_percentage,previous_year_score,previous_semester_gpa,backlogs_count,internal_marks,projects_completed,hackathons_participated,internships_completed,certifications_count,coding_problems_solved,coding_platform_rating
CSE,6,Male,Day Scholar,Night,Visual,Average,Low,Good,No,No,Not Started,219,228,332,405,94.0,75.6,7.4,0,36,4,4,1,4.0,273,1049
CSE,5,Female,Hostel,Night,Visual,Poor,Medium,Good,No,No,Not Started,141,529,152,217,80.9,66.7,6.43,1,34,6,2,0,1.0,161,1238
CSE,1,Male,Day Scholar,Night,Auditory,Average,High,Good,No,Yes,Not Started,119,300,44,485,85.8,71.5,6.84,1,30,3,1,0,0.0,0,1031
CSE,1,Female,Hostel,Morning,Kinesthetic,Poor,High,Good,No,No,Not Started,227,225,0,350,86.2,72.1,7.46,0,36,1,0,0,1.0,89,957
CSE,7,Female,Hostel,Afternoon,Kinesthetic,Good,Medium,Good,No,Yes,In Progress,179,255,120,277,100.0,69.6,6.65,2,32,3,2,0,3.0,169,1096
CSE-AIML,7,Female,Hostel,Night,Kinesthetic,Poor,Medium,Average,No,No,In Progress,271,205,99,56,98.6,83.5,8.89,0,39,6,2,3,4.0,0,1056
ECE,8,Female,Hostel,Morning,Kinesthetic,Poor,High,Average,Yes,No,Placed,190,138,0,351,64.2,69.8,7.07,2,35,5,3,2,3.0,288,1081
CSE,5,Female,Hostel,Night,Visual,Average,Medium,,No,No,Not Started,265,242,190,292,65.7,65.6,6.95,1,34,3,1,0,2.0,108,1036
CSE-AIML,2,Female,Day Scholar,Night,Visual,Average,Low,Average,No,No,Not Started,279,249,46,443,73.0,71.1,7.25,0,41,2,2,0,0.0,0,804
CSE,1,Male,Hostel,Night,Visual,Good,Medium,Good,No,Yes,Not Started,136,269,90,610,88.8,74.8,7.91,0,38,0,0,0,0.0,73,945
ECE,4,Female,Hostel,Morning,Visual,Average,Medium,Average,No,No,Not Started,165,178,0,360,77.1,66.8,6.49,2,24,4,4,0,0.0,60,966
CSE-DS,4,Female,Hostel,Night,Kinesthetic,Good,Medium,Good,Yes,No,Not Started,128,257,16,406,86.6,77.9,7.15,1,34,2,2,1,1.0,165,901
CSE-DS,7,Male,Hostel,Night,Visual,Average,Medium,Good,No,Yes,Placed,122,54,0,62,68.9,72.8,7.89,0,36,5,2,1,1.0,63,978
